epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.74509,2.97993,5.44795,3.07227,0,0,0,0,4.20261,6.50013,3.73831,0,0,0
2,3.58512,2.89436,5.73254,2.83005,0.00014,0.01667,8e-05,3e-05,3.93121,5.79022,3.36431,1.17822e-06,1.17822e-06,1.17822e-06
3,5.5179,3.19316,5.88081,2.99042,0.00057,0.06667,0.00134,0.00042,3.67722,5.38086,3.42257,2.33288e-06,2.33288e-06,2.33288e-06
4,7.32536,2.95723,5.41697,2.7515,0.24458,0.01558,0.00818,0.00408,3.15189,5.08532,3.36626,3.46397e-06,3.46397e-06,3.46397e-06
5,9.0944,2.98247,5.44924,3.01682,0.00017,0.01667,0.00536,0.00375,3.27122,5.39817,3.60909,4.5715e-06,4.5715e-06,4.5715e-06
6,10.8782,3.17399,5.08225,3.12478,0.00022,0.01667,0.00406,0.00284,3.3492,5.45777,3.6017,5.65548e-06,5.65548e-06,5.65548e-06
7,12.7059,2.82977,5.61494,2.85564,0.00025,0.01667,0.00125,0.00087,3.31969,5.63043,3.59297,6.71588e-06,6.71588e-06,6.71588e-06
8,14.4548,3.21104,5.91676,3.09279,0.00029,0.01667,0.0007,0.00032,3.31927,5.54367,3.62683,7.75273e-06,7.75273e-06,7.75273e-06
9,16.2291,2.75109,5.36666,2.93587,0.0004,0.01667,0.00124,0.00058,3.17053,5.56954,3.61187,8.76602e-06,8.76602e-06,8.76602e-06
10,17.9973,3.0067,5.47027,3.03338,0.00043,0.01667,0.00283,0.00152,3.0136,5.45655,3.55072,9.75574e-06,9.75574e-06,9.75574e-06
11,19.7604,3.10645,5.46188,2.83202,0.00044,0.01667,0.00218,0.00108,2.95681,5.40403,3.53073,1.07219e-05,1.07219e-05,1.07219e-05
12,21.5471,2.8105,5.58707,2.7507,0.00043,0.01667,0.00246,0.0013,2.91448,5.38782,3.50106,1.16645e-05,1.16645e-05,1.16645e-05
13,23.3483,2.90842,5.17815,2.75849,0.00041,0.01667,0.00163,0.00088,2.92532,5.39009,3.50178,1.25835e-05,1.25835e-05,1.25835e-05
14,25.1804,3.6045,6.04734,3.3413,0.00041,0.01667,0.00282,0.00198,2.86905,5.42194,3.4684,1.3479e-05,1.3479e-05,1.3479e-05
15,26.9937,2.89111,5.56668,2.77572,0.00037,0.01667,0.00334,0.00174,2.89104,5.38817,3.47581,1.43509e-05,1.43509e-05,1.43509e-05
16,28.4794,3.28407,5.27368,2.9544,0.00035,0.01667,0.00333,0.002,2.87027,5.37154,3.46867,1.51993e-05,1.51993e-05,1.51993e-05
17,29.9391,3.08715,5.5764,2.91793,0.00033,0.01667,0.00332,0.00174,2.87874,5.37301,3.46492,1.60241e-05,1.60241e-05,1.60241e-05
18,31.2869,2.96871,5.41371,2.86256,0.00033,0.01667,0.00332,0.00174,2.87874,5.37301,3.46492,1.68253e-05,1.68253e-05,1.68253e-05
