epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2958,1.98386,3.99575,2.26932,0.00808,1,0.33841,0.12243,1.4443,3.89368,1.72321,8.574e-05,8.574e-05,8.574e-05
2,51.0566,1.57721,3.69158,1.87446,0.01063,1,0.52192,0.20015,2.10617,4.04445,1.83738,0.000183931,0.000183931,0.000183931
3,75.8655,1.46099,3.35944,1.7421,0.01509,1,0.41039,0.10525,2.13913,4.11937,1.97014,0.000280141,0.000280141,0.000280141
4,100.06,1.3331,3.14833,1.63144,0.02558,1,0.41481,0.09755,2.01765,4.37207,2.06253,0.000374371,0.000374371,0.000374371
5,124.602,1.27726,2.86348,1.59044,0.01535,0.83333,0.42293,0.09987,2.43168,4.91448,2.57468,0.00046662,0.00046662,0.00046662
6,149.111,1.2042,2.50415,1.55221,0.015,1,0.46081,0.15959,2.11993,4.04635,2.1528,0.000556888,0.000556888,0.000556888
7,173.953,1.21022,2.26009,1.51276,0.01291,1,0.33765,0.07587,2.25871,4.31046,2.46579,0.000645176,0.000645176,0.000645176
8,198.188,1.27035,2.41586,1.58535,0.01122,1,0.56033,0.16683,2.20384,3.99297,2.78252,0.000731484,0.000731484,0.000731484
9,222.844,1.13152,2.107,1.42731,0.01039,1,0.38673,0.08643,2.64803,4.25468,3.33256,0.00081581,0.00081581,0.00081581
10,247.085,1.08309,1.97081,1.40655,0.0094,0.83333,0.1528,0.02043,3.0208,4.52458,3.3726,0.000898157,0.000898157,0.000898157
11,271.224,1.10695,2.22428,1.46878,0.00597,0.58333,0.03753,0.00695,3.25278,5.26403,2.98176,0.000978522,0.000978522,0.000978522
12,295.414,1.14574,1.94584,1.46183,0.00726,0.75,0.30447,0.06142,2.56848,4.20101,2.86318,0.00105691,0.00105691,0.00105691
13,319.351,1.13702,1.87661,1.43157,0.09571,0.75,0.29865,0.05692,2.61374,3.88036,3.22139,0.00113331,0.00113331,0.00113331
14,343.496,1.11525,1.92333,1.3729,0.70851,0.25,0.42038,0.08246,2.64248,4.03491,3.10212,0.00120774,0.00120774,0.00120774
15,367.929,1.2281,1.72553,1.41626,0.00439,0.41667,0.10234,0.03642,2.85512,4.67325,3.0981,0.00123094,0.00123094,0.00123094
16,392.054,1.08481,1.76886,1.39136,0.00149,0.16667,0.02841,0.00295,4.11325,5.15549,3.72052,0.00121679,0.00121679,0.00121679
17,416.254,1.07629,1.80364,1.38537,0,0,0,0,4.2292,5.1129,3.8672,0.00120265,0.00120265,0.00120265
18,444.965,1.0516,1.62387,1.34761,0,0,0,0,4.75362,5.61384,4.14634,0.0011885,0.0011885,0.0011885
19,468.792,1.05398,1.60125,1.33175,0,0,0,0,4.38193,5.7694,3.9329,0.00117435,0.00117435,0.00117435
20,493.226,1.07803,1.78059,1.37311,0,0,0,0,4.03063,5.81752,3.86841,0.00116021,0.00116021,0.00116021
21,517.807,0.91567,1.55735,1.26099,0,0,0,0,4.24451,6.09039,4.05455,0.00114606,0.00114606,0.00114606
22,542.347,1.09382,1.57994,1.40608,0,0,0,0,4.61811,7.67875,4.11801,0.00113191,0.00113191,0.00113191
23,567.187,1.01424,1.52107,1.31246,0,0,0,0,4.54873,6.53583,3.77252,0.00111776,0.00111776,0.00111776
24,591.936,0.94361,1.42231,1.25525,0,0,0,0,4.26062,3.99321,4.51086,0.00110362,0.00110362,0.00110362
25,616.029,0.91592,1.46133,1.25939,0.79183,0.25,0.24892,0.02489,4.02532,4.14109,4.28185,0.00108947,0.00108947,0.00108947
26,640.38,0.95643,1.36667,1.3159,0.57694,0.25,0.04973,0.01272,3.82275,4.21384,4.00476,0.00107532,0.00107532,0.00107532
27,664.799,0.98019,1.37274,1.30641,0.73844,0.5,0.33783,0.08093,3.35597,4.16892,3.71201,0.00106118,0.00106118,0.00106118
28,689.141,0.8603,1.26007,1.21668,0.9806,0.25,0.32654,0.05283,3.1366,3.49516,3.64288,0.00104703,0.00104703,0.00104703
29,713.256,0.97088,1.2606,1.29334,0.98149,0.25,0.2928,0.03946,2.97322,3.63369,3.54755,0.00103288,0.00103288,0.00103288
30,737.433,0.88381,1.20535,1.22524,0.26882,0.25,0.26729,0.05553,2.6362,3.92035,2.79214,0.00101873,0.00101873,0.00101873
31,761.724,0.91358,1.25452,1.25667,0.005,0.83333,0.07242,0.0222,2.47809,4.23569,2.76254,0.00100459,0.00100459,0.00100459
32,785.897,0.86222,1.15325,1.20256,0.00364,0.66667,0.1203,0.02682,3.08002,4.60517,3.51595,0.00099044,0.00099044,0.00099044
33,810.09,0.91843,1.22272,1.26383,0.00369,0.66667,0.18018,0.03173,2.99095,4.21837,3.60159,0.000976293,0.000976293,0.000976293
